Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details),amount_dollars
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Salaries and wages,,38443725
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Employee benefits,,5504601
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Transportation and communication,,1435417
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Services,,12898362
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Supplies and equipment,,884796
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Transfer payments,Agricultural Drainage Infrastructure Program,9667000
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Transfer payments,Canadian Ag Partnership - Federal-Public Health and Env,11339325
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Transfer payments,Canadian Ag Partnership - Provincial-Public Health and Env.,632778
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Transfer payments,Grassroots Growth Program,113450
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Transfer payments,Lake Simcoe Agri-Environmental Partnerships,519999
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,,Recoveries,,-520000
"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",5107
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,3339991
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,387749
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,96773
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,187914
